"time","heart_rate"
2013-06-08 08:13:18,159
2013-06-08 08:13:19,160
2013-06-08 08:13:20,145
2013-06-08 08:13:21,160
2013-06-08 08:13:22,160
2013-06-08 08:13:23,160
2013-06-08 08:13:24,160
2013-06-08 08:13:25,160
2013-06-08 08:13:26,159
2013-06-08 08:13:27,159
2013-06-08 08:13:28,159
2013-06-08 08:13:29,159
2013-06-08 08:13:30,160
2013-06-08 08:13:31,159
2013-06-08 08:13:32,159
2013-06-08 08:13:33,160
2013-06-08 08:13:34,160
2013-06-08 08:13:35,154
2013-06-08 08:13:36,160
2013-06-08 08:13:37,160
2013-06-08 08:13:38,160
2013-06-08 08:13:39,139
2013-06-08 08:13:40,160
2013-06-08 08:13:41,160
2013-06-08 08:13:42,162
2013-06-08 08:13:43,162
2013-06-08 08:13:44,162
2013-06-08 08:13:45,162
2013-06-08 08:13:46,161
2013-06-08 08:13:47,108
2013-06-08 08:13:48,162
2013-06-08 08:13:49,161
2013-06-08 08:13:50,190
2013-06-08 08:13:51,149
2013-06-08 08:13:52,161
2013-06-08 08:13:53,161
2013-06-08 08:13:54,161
2013-06-08 08:13:55,161
2013-06-08 08:13:56,147
2013-06-08 08:13:57,161
2013-06-08 08:13:58,161
2013-06-08 08:13:59,161
2013-06-08 08:14:00,161
2013-06-08 08:14:01,161
2013-06-08 08:14:02,161
2013-06-08 08:14:03,161
2013-06-08 08:14:04,161
2013-06-08 08:14:05,161
2013-06-08 08:14:06,161
2013-06-08 08:14:07,156
2013-06-08 08:14:08,161
2013-06-08 08:14:09,161
2013-06-08 08:14:10,161
2013-06-08 08:14:11,161
2013-06-08 08:14:12,161
2013-06-08 08:14:13,161
2013-06-08 08:14:14,161
2013-06-08 08:14:15,161
2013-06-08 08:14:16,129
2013-06-08 08:14:17,162
2013-06-08 08:14:18,162
2013-06-08 08:14:19,162
2013-06-08 08:14:20,91
2013-06-08 08:14:21,178
2013-06-08 08:14:22,162
2013-06-08 08:14:23,162
2013-06-08 08:14:24,162
2013-06-08 08:14:25,161
2013-06-08 08:14:26,161
2013-06-08 08:14:27,161
2013-06-08 08:14:28,165
2013-06-08 08:14:29,164
2013-06-08 08:14:30,163
2013-06-08 08:14:31,163
2013-06-08 08:14:32,163
2013-06-08 08:14:33,166
2013-06-08 08:14:34,163
2013-06-08 08:14:35,88
2013-06-08 08:14:36,163
2013-06-08 08:14:37,163
2013-06-08 08:14:38,163
2013-06-08 08:14:39,163
2013-06-08 08:14:40,163
2013-06-08 08:14:41,163
2013-06-08 08:14:42,163
2013-06-08 08:14:43,162
2013-06-08 08:14:44,162
2013-06-08 08:14:45,162
2013-06-08 08:14:46,162
2013-06-08 08:14:47,162
2013-06-08 08:14:48,162
2013-06-08 08:14:49,161
2013-06-08 08:14:50,161
2013-06-08 08:14:51,161
2013-06-08 08:14:52,161
2013-06-08 08:14:53,161
2013-06-08 08:14:54,161
2013-06-08 08:14:55,161
2013-06-08 08:14:56,161
2013-06-08 08:14:57,161
2013-06-08 08:14:58,141
2013-06-08 08:14:59,161
2013-06-08 08:15:00,161
2013-06-08 08:15:01,161
2013-06-08 08:15:02,161
2013-06-08 08:15:03,141
2013-06-08 08:15:04,53
2013-06-08 08:15:05,159
2013-06-08 08:15:06,159
2013-06-08 08:15:07,160
2013-06-08 08:15:08,160
2013-06-08 08:15:09,160
2013-06-08 08:15:10,160
2013-06-08 08:15:11,164
2013-06-08 08:15:12,164
2013-06-08 08:15:13,164
2013-06-08 08:15:14,171
2013-06-08 08:15:15,176
2013-06-08 08:15:16,125
2013-06-08 08:15:17,176
2013-06-08 08:15:18,187
2013-06-08 08:15:19,176
2013-06-08 08:15:20,179
2013-06-08 08:15:21,172
2013-06-08 08:15:22,172
2013-06-08 08:15:23,201
2013-06-08 08:15:24,174
2013-06-08 08:15:25,186
2013-06-08 08:15:26,174
2013-06-08 08:15:27,174
2013-06-08 08:15:28,174
2013-06-08 08:15:29,174
2013-06-08 08:15:30,174
2013-06-08 08:15:31,174
2013-06-08 08:15:32,50
2013-06-08 08:15:33,174
2013-06-08 08:15:34,NA
2013-06-08 08:15:35,129
2013-06-08 08:15:36,NA
2013-06-08 08:15:37,NA
2013-06-08 08:15:38,103
2013-06-08 08:15:39,NA
2013-06-08 08:15:40,NA
2013-06-08 08:15:41,NA
2013-06-08 08:15:42,266
2013-06-08 08:15:43,NA
2013-06-08 08:15:44,NA
2013-06-08 08:15:45,NA
2013-06-08 08:15:46,NA
2013-06-08 08:15:47,NA
2013-06-08 08:15:48,NA
2013-06-08 08:15:49,NA
2013-06-08 08:15:50,NA
2013-06-08 08:15:51,NA
2013-06-08 08:15:52,NA
2013-06-08 08:15:53,NA
2013-06-08 08:15:54,NA
2013-06-08 08:15:55,NA
2013-06-08 08:15:56,NA
2013-06-08 08:15:57,NA
2013-06-08 08:15:58,NA
2013-06-08 08:15:59,NA
2013-06-08 08:16:00,NA
2013-06-08 08:16:01,NA
2013-06-08 08:16:02,NA
2013-06-08 08:16:03,NA
2013-06-08 08:16:04,NA
2013-06-08 08:16:05,NA
2013-06-08 08:16:06,NA
2013-06-08 08:16:07,NA
2013-06-08 08:16:08,NA
2013-06-08 08:16:09,NA
2013-06-08 08:16:10,NA
2013-06-08 08:16:11,NA
2013-06-08 08:16:12,NA
2013-06-08 08:16:13,NA
2013-06-08 08:16:13,NA
2013-06-08 08:16:14,NA
2013-06-08 08:16:15,NA
2013-06-08 08:16:16,NA
2013-06-08 08:16:17,NA
2013-06-08 08:16:18,NA
2013-06-08 08:16:19,NA
2013-06-08 08:16:20,NA
2013-06-08 08:16:21,NA
2013-06-08 08:16:22,NA
2013-06-08 08:16:23,NA
2013-06-08 08:16:24,NA
2013-06-08 08:16:25,NA
2013-06-08 08:16:26,NA
2013-06-08 08:16:27,NA
2013-06-08 08:16:28,NA
2013-06-08 08:16:29,NA
2013-06-08 08:16:30,NA
2013-06-08 08:16:31,NA
2013-06-08 08:16:32,NA
2013-06-08 08:16:33,NA
2013-06-08 08:16:34,NA
2013-06-08 08:16:35,NA
2013-06-08 08:16:36,NA
2013-06-08 08:16:37,NA
2013-06-08 08:16:38,NA
2013-06-08 08:16:39,NA
2013-06-08 08:16:40,NA
2013-06-08 08:16:41,NA
2013-06-08 08:16:42,NA
2013-06-08 08:16:43,NA
2013-06-08 08:16:44,NA
2013-06-08 08:16:45,NA
2013-06-08 08:16:46,NA
2013-06-08 08:16:47,NA
2013-06-08 08:16:48,NA
2013-06-08 08:16:49,NA
2013-06-08 08:16:50,NA
2013-06-08 08:16:51,NA
2013-06-08 08:16:52,NA
2013-06-08 08:16:53,NA
2013-06-08 08:16:54,109
2013-06-08 08:16:55,84
2013-06-08 08:16:56,NA
2013-06-08 08:16:57,NA
2013-06-08 08:16:58,NA
2013-06-08 08:16:59,NA
2013-06-08 08:17:00,NA
2013-06-08 08:17:01,NA
2013-06-08 08:17:02,NA
2013-06-08 08:17:03,NA
2013-06-08 08:17:04,NA
2013-06-08 08:17:05,NA
2013-06-08 08:17:06,NA
2013-06-08 08:17:07,NA
2013-06-08 08:17:08,NA
2013-06-08 08:17:09,NA
2013-06-08 08:17:10,NA
2013-06-08 08:17:11,NA
2013-06-08 08:17:12,113
2013-06-08 08:17:13,NA
2013-06-08 08:17:14,NA
2013-06-08 08:17:15,NA
2013-06-08 08:17:16,NA
2013-06-08 08:17:17,NA
2013-06-08 08:17:18,NA
2013-06-08 08:17:19,119
2013-06-08 08:17:20,NA
2013-06-08 08:17:21,NA
2013-06-08 08:17:22,97
2013-06-08 08:17:23,NA
2013-06-08 08:17:24,NA
2013-06-08 08:17:25,NA
2013-06-08 08:17:26,NA
2013-06-08 08:17:27,NA
2013-06-08 08:17:28,NA
2013-06-08 08:17:29,NA
2013-06-08 08:17:30,NA
2013-06-08 08:17:31,NA
2013-06-08 08:17:32,NA
2013-06-08 08:17:33,NA
2013-06-08 08:17:34,NA
2013-06-08 08:17:35,NA
2013-06-08 08:17:36,NA
2013-06-08 08:17:37,NA
2013-06-08 08:17:38,NA
2013-06-08 08:17:39,NA
2013-06-08 08:17:40,NA
2013-06-08 08:17:41,NA
2013-06-08 08:17:42,NA
2013-06-08 08:17:43,NA
2013-06-08 08:17:44,NA
2013-06-08 08:17:45,NA
2013-06-08 08:17:46,NA
2013-06-08 08:17:47,NA
2013-06-08 08:17:48,151
2013-06-08 08:17:49,NA
2013-06-08 08:17:50,NA
2013-06-08 08:17:51,NA
2013-06-08 08:17:52,NA
2013-06-08 08:17:53,NA
2013-06-08 08:17:54,NA
2013-06-08 08:17:55,NA
2013-06-08 08:17:56,NA
2013-06-08 08:17:57,NA
2013-06-08 08:17:58,NA
2013-06-08 08:17:59,NA
2013-06-08 08:18:00,NA
2013-06-08 08:18:01,NA
2013-06-08 08:18:02,NA
2013-06-08 08:18:03,NA
2013-06-08 08:18:04,NA
2013-06-08 08:18:05,NA
2013-06-08 08:18:06,NA
2013-06-08 08:18:07,NA
2013-06-08 08:18:08,175
2013-06-08 08:18:09,NA
2013-06-08 08:18:10,NA
2013-06-08 08:18:11,NA
2013-06-08 08:18:12,NA
2013-06-08 08:18:13,NA
2013-06-08 08:18:14,NA
2013-06-08 08:18:15,66
2013-06-08 08:18:16,NA
2013-06-08 08:18:17,121
2013-06-08 08:18:18,NA
2013-06-08 08:18:19,NA
2013-06-08 08:18:20,52
2013-06-08 08:18:21,NA
2013-06-08 08:18:22,NA
2013-06-08 08:18:23,NA
2013-06-08 08:18:24,NA
2013-06-08 08:18:25,NA
2013-06-08 08:18:26,NA
2013-06-08 08:18:27,NA
2013-06-08 08:18:28,NA
2013-06-08 08:18:29,NA
2013-06-08 08:18:30,NA
2013-06-08 08:18:31,NA
2013-06-08 08:18:32,NA
2013-06-08 08:18:33,33
2013-06-08 08:18:34,NA
2013-06-08 08:18:35,NA
2013-06-08 08:18:36,NA
2013-06-08 08:18:37,NA
2013-06-08 08:18:38,NA
2013-06-08 08:18:39,NA
2013-06-08 08:18:40,NA
2013-06-08 08:18:41,NA
2013-06-08 08:18:42,NA
2013-06-08 08:18:43,NA
2013-06-08 08:18:44,NA
2013-06-08 08:18:45,58
2013-06-08 08:18:46,NA
2013-06-08 08:18:47,NA
2013-06-08 08:18:48,NA
2013-06-08 08:18:49,NA
2013-06-08 08:18:50,NA
2013-06-08 08:18:51,NA
2013-06-08 08:18:52,NA
2013-06-08 08:18:53,152
2013-06-08 08:18:54,NA
2013-06-08 08:18:55,NA
2013-06-08 08:18:56,NA
2013-06-08 08:18:57,NA
2013-06-08 08:18:58,NA
2013-06-08 08:18:59,NA
2013-06-08 08:19:00,NA
2013-06-08 08:19:01,NA
2013-06-08 08:19:02,NA
2013-06-08 08:19:03,NA
2013-06-08 08:19:04,NA
